team
Arsenal
Aston Villa
Barnsley
Birmingham City
Blackburn
Blackpool
Bolton
Bournemouth
Bradford City
Brentford
Brighton
Burnley
Cardiff City
Charlton Ath
Chelsea
Coventry City
Crystal Palace
Derby County
Everton
Fulham
Huddersfield
Hull City
Ipswich Town
Leeds United
Leicester City
Liverpool
Luton Town
Manchester City
Manchester Utd
Middlesbrough
Newcastle Utd
Norwich City
Nottingham Forest
Oldham Athletic
Portsmouth
QPR
Reading
Sheffield Utd
Sheffield Weds
Southampton
Stoke City
Sunderland
Swansea City
Swindon Town
Tottenham
Watford
West Brom
West Ham
Wigan Athletic
Wimbledon
Wolves
